label,book1,author1,book2,author2,id
0,editor 's notes,michael j. franklin,editorial,richard snodgrass,810_343
0,approximate query processing using wavelets,"kyuseok shim , kaushik chakrabarti , minos n. garofalakis , rajeev rastogi",approximate query processing : taming the terabytes,"minos n. garofalakis , phillip b. gibbon",2308_1342
0,secure bufering in firm real-time database systems,"jayant r. haritsa , binto george",managing intra-operator parallelism in parallel database systems,"manish mehta , david j. dewitt",2151_1472
0,phoenix : making applications robust,"david b. lomet , roger s. barga",phoenix project : fault-tolerant applications,"roger barga , david lomet",2512_739
1,the zero latency enterprise,dave liles,the zero latency enterprise,dave liles,2264_2170
1,merging ranks from heterogeneous internet sources,"hector garcia-molina , luis gravano",merging ranks from heterogeneous internet sources,"luis gravano , hector garcia-molina",1930_943
0,on supporting containment queries in relational database management systems,"guy m. lohman , david j. dewitt , qiong luo , jeffrey f. naughton , chun zhang",unisql 's next-generation object-relational database management system,"albert d'andrea , phil janus",690_1885
0,efficient approximation of optimization queries under parametric aggregation constraints,"dimitrios gunopulos , nick koudas , divesh srivastava , michail vlachos , sudipto guha",optimization of constrained frequent set queries with 2-variable constraints,"laks v. s. lakshmanan , raymond ng , jiawei han , alex pang",228_201
0,rainbow : distributed database system for classroom education and experimental research,"abdelsalam helal , hua li",an experimental object-based sharing system for networked databases,"doug fang , shahram ghandeharizadeh , dennis mcleod",396_1215
0,secure bufering in firm real-time database systems,"jayant r. haritsa , binto george",a database system for real-time event aggregation in telecommunication,"jerry baulier , stephen blott , henry f. korth , abraham silberschatz",2151_991
0,mindreader : querying databases through multiple examples,"ravishankar subramanya , christos faloutsos , yoshiharu ishikawa",querying multiple features of groups in relational databases,"damianos chatziantoniou , kenneth a. ross",1839_1046
0,reminiscences on influential papers,"per-åke larson , luis gravano , stefano ceri , leonid libkin , tova milo , kenneth a. ross",reminiscences on influential papers,kenneth a. ross,304_547
1,multi-dimensional substring selectivity estimation,"divesh srivastava , olga kapitskaia , raymond t. ng , h. v. jagadish",multi-dimensional substring selectivity estimation,"h. v. jagadish , olga kapitskaia , raymond t. ng , divesh srivastava",63_809
0,implementing lazy database updates for an object database system,"fabrizio ferrandina , thorsten meyer , roberto zicari",temporal database system implementations,michael h. b &#246; hlen,1685_1600
1,theory of answering queries using views,alon y. halevy,theory of answering queries using views,alon y. halevy,715_455
0,efficient filtering of xml documents with xpath expressions,"rajeev rastogi , pascal felber , chee yong chan , minos n. garofalakis",evaluating queries with generalized path expressions,"vassilis christophides , sophie cluet , guido moerkotte",753_1984
0,editorial,"peter m. g. apers , stefano ceri , richard t. snodgrass",guest editorial,"philip a. bernstein , yannis ioannidis , raghu ramakrishnan",1086_2290
0,the asilomar report on database research,"gerald held , hector garcia-molina , michael lesk , jim gray , philip a. bernstein , david maier , h. v. jagadish , michael stonebraker , stefano ceri , joseph m. hellerstein , david j. dewitt , jeffrey d. ullman , michael l. brodie , jeffrey f. naughton , michael j. franklin , hamid pirahesh",the database research group at eth zurich,"moira c. norrie , stephen m. blott , hans-j &#246; rg schek , gerhard weikum",2407_1704
0,an introduction to spatial database systems,ralf hartmut güting,an algebraic approach to rule analysis in expert database systems,"elena baralis , jennifer widom",1753_1422
0,integration of spatial join algorithms for processing multiple inputs,"nikos mamoulis , dimitris papadias",a raster approximation for processing of spatial joins,"geraldo zimbrao , jano moreira de souza",269_992
0,advances in real-time database systems research,azer bestavros,an annotated bibliography on real-time database systems,&#214; zg &#252; r ulusoy,2178_1614
0,efficient concurrency control in multidimensional access methods,"sharad mehrotra , kaushik chakrabarti",efficient search of multi-dimensional b-trees,"harry leslie , rohit jain , dave birdsall , hedieh yaghmai",1598_1112
0,sideway value algebra for object-relational databases,"z. meral özsoyoglu , gultekin özsoyoglu , abdullah al-hamdani , özgür ulusoy , selma ayse özel , ismail sengör altingövde",bulk-loading techniques for object databases and an application to relational data,"sihem amer-yahia , sophie cluet , claude delobel",476_1016
0,query unnesting in object-oriented databases,leonidas fegaras,converting relational to object-oriented databases,joseph fong,2232_1915
0,"research and practice in federated information systems , report of the efis ' 2000 international workshop","ralf-detlef kutsche , geert-jan houben , mark roantree , bodo rieger , wilhelm hasselbring , kazimierz subieta , willem-jan van den heuvel","report on the first international conference on ontologies , databases and applications of semantics ( odbase ) : part of the federated conference on the move to meaningful internet systems 2002",karl aberer,2473_912
0,managing multiple and distributed ontologies on the semantic web,"boris motik , alexander maedche , ljiljana stojanovic",emergent semantics and the multimedia semantic web,"w. i. grosky , d. v. sreenath , f. fotouhi",342_616
0,efficient and cost-effective techniques for browsing and indexing large video databases,"kien a. hua , jung-hwan oh",efficient index structures for string databases,"tamer kahveci , ambuj k. singh",595_1408
0,"research and practice in federated information systems , report of the efis ' 2000 international workshop","ralf-detlef kutsche , geert-jan houben , mark roantree , bodo rieger , wilhelm hasselbring , kazimierz subieta , willem-jan van den heuvel","transactional information systems : theory , algorithms , and the practice of concurrency control and recovery",marc h. scholl,2473_597
0,eliminating fuzzy duplicates in data warehouses,"rohit ananthakrishna , venkatesh ganti , surajit chaudhuri",expiring data in a warehouse,"hector garcia-molina , wilburt labio , jun yang",159_963
0,an effective deductive object-oriented database through language integration,"m. howard williams , norman w. paton , andrew dinn , maria l. barja , alvaro a. a. fernandes",the ccube constraint object-oriented database system,"alexander brodsky , victor e. segal , jia chen , paval a. exarkhopoulo",783_4
0,an efficient algorithm for mining association rules in large databases,"edward omiecinski , shamkant b. navathe , ashok savasere",algorithms for mining association rules for binary segmentations of huge categorical databases,"yasuhiko morimoto , takeshi fukuda , hirofumi matsuzawa , takeshi tokuyama , kunikazu yoda",863_1002
0,mining fuzzy association rules in databases,"ada wai-chee fu , man hon wong , chan man kuok",temporal aggregation in active database rules,"iakovos motakis , carlo zaniolo",2313_1827
0,optimizing multiple dimensional queries simultaneously in multidimensional databases,"jeffrey xu yu , weifa liang , maria e. orlowska",explaining differences in multidimensional aggregates,sunita sarawagi,2062_810
1,the data that you wo n't find in databases : tutorial panel on data exchange formats,"david maier , peter buneman",the data that you wo n't find in databases : tutorial panel on data exchange formats,"peter buneman , david maier",197_1493
0,special issue on data mining for intrusion detection and threat analysis - guest editor 's introduction,daniel barbará,advanced xml data processing : guest editor 's introduction,karl aberer,866_567
1,report on the 5th international workshop on the design and management of data warehouses ( dmdw ' 03 ),"manfred a. jeusfeld , hans-joachim lenz , panos vassiliadis , martin staudt",report on the 5th international workshop on the design and management of data warehouses ( dmdw ' 03 ),"hans j. lenz , panos vassiliadis , manfred jeusfeld , martin staudt",1066_2210
0,reminiscences on influential papers,"jun rao , kenneth a. ross , johannes gehrke",influential papers,ken ross,653_924
0,query decomposition and view maintenance for query languages for unstructured data,dan suciu,query rewriting for semistructured data,"yannis papakonstantinou , vasilis vassalos",1507_62
0,guest editor 's introduction,asuman dogac,guest editorial,"philip a. bernstein , yannis ioannidis , raghu ramakrishnan",775_2290
0,mineset ( tm ) : a system for high-end data mining and visualization,?,multimediaminer : a system prototype for multimedia data mining,"osmar r. za &#239; ane , jiawei han , ze-nian li , sonny h. chee , jenny y. chiang",597_140
0,analysis of navigation behaviour in web sites integrating multiple information systems,"myra spiliopoulou , bettina berendt",quality-driven integration of heterogenous information systems,"felix naumann , ulf leser , johann christoph freytag",2305_790
0,merge replication in microsoft 's sql server 7.0,brad hammond,microsoft index turning wizard for sql server 7.0,"surajit chaudhuri , vivek narasayya",1277_155
0,mpeg-7 and multimedia database systems,harald kosch,multimediaminer : a system prototype for multimedia data mining,"osmar r. za &#239; ane , jiawei han , ze-nian li , sonny h. chee , jenny y. chiang",797_140
0,join index hierarchies for supporting efficient navigations in object-oriented databases,"jiawei han , zhaohui xie",an efficient algorithm for mining association rules in large databases,"ashoka savasere , edward omiecinski , shamkant b. navathe",2540_1471
0,promises and realities of active database systems,"eric simon , angelika kotz dittrich",improving timeliness in real-time secure database systems,"sang h. son , rasikan david , bhavani thuraisingham",2129_378
0,editor 's notes,ling liu,editorial,richard snodgrass,219_343
0,evaluating functional joins along nested reference sets in object-relational and object-oriented databases,"alfons kemper , reinhard braumandl , jens claußen",index nesting - an efficient approach to indexing in object-oriented databases,"beng chin ooi , jiawei han , hongjun lu , kian lee tan",1471_1205
0,an extensible compressor for xml data,"dan suciu , hartmut liefke",query engines for web-accessible xml data,"leonidas fegaras , ramez elmasri",926_1326
0,view maintenance in mobile computing,"ouri wolfson , kailash narayanan , son dao , ramya raj , a. prasad sistla",view maintenance in a warehousing environment,"yue zhuge , h &#233; ctor garc &#237; a-molina , joachim hammer , jennifer widom",2066_1507
0,query optimization in compressed database systems,"zhiyuan chen , flip korn , johannes gehrke",the implementation and performance of compressed databases,"till westmann , donald kossmann , sven helmer , guido moerkotte",1892_459
0,editor 's notes,ling liu,editorial,richard snodgrass,941_343
0,sap r/3 : a database application system ( tutorial ),"alfons kemper , florian matthes , donald kossmann","object-relational database systems ( tutorial ) : principles , products and challenges","michael j. carey , nelson m. mattos , anil k. nori",978_1850
0,cost estimation of user-defined methods in object-relational database systems,"kinji ono , jihad boulos",cost-driven vertical class partitioning for methods in object oriented databases,"chi-wai fung , kamalakar karlapalem , qing li",1576_2276
0,multi-dimensional substring selectivity estimation,"divesh srivastava , olga kapitskaia , raymond t. ng , h. v. jagadish",wavelet-based histograms for selectivity estimation,"yossi matias , jeffrey scott vitter , min wang",63_184
0,query unnesting in object-oriented databases,leonidas fegaras,lambda-db : an odmg-based object-oriented dbms,"leonidas fegaras , chandrasekhar srinivasan , arvind rajendran , david maier",2232_384
1,checking the temporal integrity of interactive multimedia documents,"s. tserkezoglou , timos k. sellis , barbara pernici , michalis vazirgiannis , isabelle mirbel",checking the temporal integrity of interactive multimedia documents,"i. mirbel , b. pernici , t. sellis , s. tserkezoglou , m. vazirgiannis",752_1277
0,the araneus web-base management system,"giansalvatore mecca , paolo merialdo , alessandro masci , paolo atzeni , giuseppe sindoni",database management systems and the internet,susan malaika,742_1048
0,mind your vocabulary : query mapping across heterogeneous information sources,"kevin chen-chuan chang , hector garcia-molina",rate-based query optimization for streaming information sources,"stratis d. viglas , jeffrey f. naughton",2450_640
1,i/o reference behavior of production database workloads and the tpc benchmarks - an analysis at the logical level,"windsor w. hsu , alan jay smith , honesty c. young",i/o reference behavior of production database workloads and the tpc benchmarks-an analysis at the logical level,"windsor w. hsu , alan jay smith , honesty c. young",1231_330
0,exploiting statistics on query expressions for optimization,"nicolas bruno , surajit chaudhuri",bringing order to query optimization,"giedrius slivinskas , christian s. jensen , richard thomas snodgrass",1651_759
0,a taxonomy for secure object-oriented databases,"sebastiaan h. von solms , martin s. olivier",converting relational to object-oriented databases,joseph fong,1459_1915
0,structures for manipulating proposed updates in object-oriented databases,"richard hull , mohammed rupawalla , michael doherty",query unnesting in object-oriented databases,leonidas fegaras,1799_1787
0,aggregate-query processing in data warehousing environments,"venky harinarayan , dallan quass , ashish gupta",incremental clustering for mining in a data warehousing environment,"martin ester , hans-peter kriegel , j &#246; rg sander , michael wimmer , xiaowei xu",1993_1020
0,semantic integration of semistructured and structured data sources,"sonia bergamaschi , maurizio vincini , silvana castano",semistructured and structured data in the web : going back and forth,"paolo atzeni , giansalvatore mecca , paolo merialdo",1385_1754
0,knowledge discovery in data warehouses,themistoklis palpanas,issues in developing very large data warehouses,"lyman do , pamela drew , wei jin , vish jumani , david van rossum",2155_989
0,approximate string joins in a database ( almost ) for free,"luis gravano , h. v. jagadish , panagiotis g. ipeirotis , s. muthukrishnan , divesh srivastava , nick koudas",an approximate search engine for structural databases,"jason t. l. wang , xiong wang , dennis shasha , bruce a. shapiro , kaizhong zhang , qicheng ma , zasha weinberg",2197_385
0,versant replication : supporting fault-tolerant object databases,"h. stephen au-yeung , c. p. chou , yuh-ming shyy",on-line reorganization in object databases,"mohana k. lakhamraju , rajeev rastogi , s. seshadri , s. sudarshan",1617_66
0,the reach active oodbms,"alin deutsch , jürgen zimmermann , m. higa , alejandro p. buchmann",the samos active dbms prototype,"stella gatziu , andreas geppert , klaus r. dittrich",418_1525
0,fast algorithms for universal quantification in large databases,"goetz graefe , richard l. cole",aggregation algorithms for very large compressed data warehouses,"jianzhong li , doron rotem , jaideep srivastava",501_789
1,vist : a dynamic index method for querying xml data by tree structures,"wei fan , sanghyun park , philip s. yu , haixun wang",vist : a dynamic index method for querying xml data by tree structures,"haixun wang , sanghyun park , wei fan , philip s. yu",1927_2085
0,locally adaptive dimensionality reduction for indexing large time series databases,"kaushik chakrabarti , eamonn j. keogh , michael j. pazzani , sharad mehrotra",local dimensionality reduction : a new approach to indexing high dimensional spaces,"kaushik chakrabarti , sharad mehrotra",2613_1362
0,phrase matching in xml,"sihem amer-yahia , mary f. fernandez , yu xu , divesh srivastava",pix : exact and approximate phrase matching in xml,"sihem amer-yahia , mary fern &#225; ndez , divesh srivastava , yu xu",2366_2008
1,safe stratified datalog with integer order does not have syntax,"alexei p. stolboushkin , michael a. taitslin",safe stratified datalog with integer order does not have syntax,"alexei p. stolboushkin , michael a. taitslin",445_239
0,dbcache : database caching for web application servers,"sailesh krishnamurthy , c. mohan , larry brown , hamid pirahesh , mehmet altinel , honguk woo , qiong luo , bruce g. lindsay",middle-tier database caching for e-business,"qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , honguk woo , bruce g. lindsay , jeffrey f. naughton",786_723
0,efficient index structures for string databases,"tamer kahveci , ambuj k. singh",efficient and cost-effective techniques for browsing and indexing large video databases,"junghwan oh , kien a. hua",1540_445
1,hypertext databases and data mining,soumen chakrabarti,hypertext databases and data mining,soumen chakrabarti,590_36
0,efficient testing of high performance transaction processing systems,"d. wildfogel , ramana yerneni",evaluation of remote backup algorithms for transaction-processing systems,"christos a. polyzois , h &#233; ctor garc &#237; a-molina",963_1708
1,a mapping mechanism to support bitmap index and other auxiliary structures on tables stored as primary b + - trees,"mahesh jagannath , eugene inseok chong , aravind yalamanchi , chuck freiwald , souripriya das , anh-tuan tran , jagannathan srinivasan , richard jiang , ramkumar krishnan",a mapping mechanism to support bitmap index and other auxiliary structures on tables stored as primary b + - trees,"eugene inseok chong , jagannathan srinivasan , souripriya das , chuck freiwald , aravind yalamanchi , mahesh jagannath , anh-tuan tran , ramkumar krishnan , richard jiang",1813_2066
0,algebraic query optimisation for database programming languages,"carol small , alexandra poulovassilis",automatic discovery of language models for text databases,"jamie callan , margaret connell , aiqun du",76_60
0,the trigs active object-oriented database system - an overview,"gerti kappel , werner retschitzegger",accessing a relational database through an object-oriented database interface,"jack a. orenstein , d. n. kamber",2131_1463
0,exploiting versions for on-line data warehouse maintenance in molap servers,"heum-geun kang , chin-wan chung",multiple-view self-maintenance in data warehousing environments,nam huyn,1394_1031
0,data mining with optimized two-dimensional association rules,"takeshi tokuyama , yasuhiko morimoto , shinichi morishita , takeshi fukuda",a template model for multidimensional inter-transactional association rules,"ling feng , jeffrey xu yu , hongjun lu , jiawei han",2520_1190
0,lineage tracing for general data warehouse transformations,"yingwei cui , jennifer widom",data extraction and transformation for the data warehouse,case squire,19_1548
0,a raster approximation for processing of spatial joins,"jano moreira de souza , geraldo zimbrao",approximate xml joins,"sudipto guha , h. v. jagadish , nick koudas , divesh srivastava , ting yu",1854_681
0,integrating a structured-text retrieval system with an object-oriented database system,"jurgen annevelink , tak w. yan",extraction of object-oriented structures from existing relational databases,"shekar ramanathan , julia hodges",1116_1912
0,towards self-tuning data placement in parallel database systems,"mong-li lee , beng chin ooi , anirban mondal , kian-lee tan , masaru kitsuregawa",dynamic multi-resource load balancing in parallel database systems,"erhard rahm , robert marek",609_1458
0,data extraction and transformation for the data warehouse,cass squire,concurrency in the data warehouse,richard taylor,2386_1356
0,managing intervals efficiently in object-relational databases,"thomas seidl , marco pötke , hans-peter kriegel",index nesting - an efficient approach to indexing in object-oriented databases,"beng chin ooi , jiawei han , hongjun lu , kian lee tan",1646_1205
0,structures for manipulating proposed updates in object-oriented databases,"richard hull , mohammed rupawalla , michael doherty",a data model and data structures for moving objects databases,"luca forlizzi , ralf hartmut g &#252; ting , enrico nardelli , markus schneider",1799_420
0,dynamic service matchmaking among agents in open information environments,"matthias klusch , katia p. sycara , seth widoff , jianguo lu",environmental information systems,oliver g &#252; nther,591_1909
0,opportunities in information management and assurance,xiaolei qian,research activities in database management and information retrieval at university of illinois at chicago,"isabel cruz , ashfaq khokhar , bing liu , prasad sistla , ouri wolfson , clement yu",71_565
0,an efficient algorithm for mining association rules in large databases,"edward omiecinski , shamkant b. navathe , ashok savasere",efficient algorithms for mining outliers from large data sets,"sridhar ramaswamy , rajeev rastogi , kyuseok shim",863_444
0,temporal database system implementations,michael h. böhlen,implementation of magic-sets in a relational database system,"inderpal singh mumick , hamid pirahesh",162_1715
0,naos - efficient and modular reactive capabilities in an object-oriented database system,"thierry coupaye , t. svensen , christine collet",the trigs active object-oriented database system - an overview,"g. kappel , w. retschitzegger",2081_225
0,the mariposa distributed database management system,jeff sidell,strudel : a web site management system,"mary fernandez , daniela florescu , jaewoo kang , alon levy , dan suciu",2296_1866
0,research in database engineering at the university of namur,jean-luc hainaut,database research at the university of illinois at urbana-champaign,"m. winslett , k. chang , a. doan , j. han , c. zhai , y. zhou",667_562
0,dynamic maintenance of wavelet-based histograms,"yossi matias , jeffrey scott vitter , min wang",wavelet-based histograms for selectivity estimation,"yossi matias , jeffrey scott vitter , min wang",1926_184
0,information rules,dale a. stirling,infomaster : an information integration system,"michael r. genesereth , arthur m. keller , oliver m. duschka",405_1846
0,rights protection for relational data,"sunil prabhakar , radu sion , mikhail j. atallah",a system for watermarking relational databases,"rakesh agrawal , peter j. haas , jerry kiernan",1915_2019
0,the onion technique : indexing for linear optimization queries,"chung-sheng li , vittorio castelli , lawrence d. bergman , john r. smith , yuan-chi chang , ming-ling lo",fast evaluation techniques for complex similarity queries,"klemens b &#246; hm , michael mlivoncic , hans-j &#246; rg schek , roger weber",526_1306
0,data management challenges in crm,george colliat,data management for earth system science,"james frew , jeff dozier",897_1918
0,an adaptive query execution system for data integration,"daniel s. weld , alon y. levy , marc friedman , zachary g. ives , daniela florescu",aqr-toolkit : an adaptive query routing middleware for distributed data intensive systems,"ling liu , calton pu , david buttler , wei han , henrique paques , wei tang",101_403
0,reminiscences on influential papers,richard t. snodgrass,reminiscences on influential papers,kenneth a. ross,907_927
0,cache conscious algorithms for relational query processing,"jeffrey f. naughton , ambuj shatdal , chander kant",javax.xxl : a prototype for a library of query processing algorithms,"jochen van den bercken , jens-peter dittrich , bernhard seeger",1336_412
0,the ores temporal database management system,"babis theodoulidis , george karvelis , jayant chaudhary , aziz ait-braham , simon sou , george andrianopoulos",dwms : data warehouse management system,narendra mohan,78_1051
0,design and implementation of rmp - a virtual electronic market place,"wolfgang klas , susanne boll , bernard battaglin",the design and implementation of a sequence database system,"praveen seshadri , miron livny , raghu ramakrishnan",1244_1052
0,"olap , relational , and multidimensional database systems",george colliat,promises and realities of active database systems,"eric simon , angelika kotz dittrich",2108_1114
1,fast image retrieval using color-spatial information,"kian-lee tan , tat-seng chua , beng chin ooi , wynne hsu",fast image retrieval using color-spatial information,"beng chin ooi , kian-lee tan , tat seng chua , wynne hsu",740_1177
0,theory of answering queries using views,alon y. halevy,minicon : a scalable algorithm for answering queries using views,"rachel pottinger , alon halevy",715_2105
0,multi-dimensional database allocation for parallel data warehouses,"holger märtens , erhard rahm , thomas stöhr",multi-dimensional resource scheduling for parallel queries,"minos n. garofalakis , yannis e. ioannidis",1969_1981
0,optimizing multiple dimensional queries simultaneously in multidimensional databases,"jeffrey xu yu , weifa liang , maria e. orlowska","olap , relational , and multidimensional database systems",george colliat,2062_1884
1,eddies : continuously adaptive query processing,"ron avnur , joseph m. hellerstein",eddies : continuously adaptive query processing,"ron avnur , joseph m. hellerstein",2589_431
1,database research at the university of illinois at urbana-champaign,"chengxiang zhai , marianne winslett , yuanyuan zhou , kevin chen-chuan chang , jiawei han , anhai doan",database research at the university of illinois at urbana-champaign,"m. winslett , k. chang , a. doan , j. han , c. zhai , y. zhou",826_562
0,guest editor 's introduction,asuman dogac,guest editorial,"amr el abbadi , gunter schlageter , kyu-young whang",1705_2101
0,a nanotechnology-based approach to data storage,"b. gotsmann , a. dholakia , g. cherubini , walter häberle , h. pozidis , michel despont , richard stutz , p. bächtold , c. hagleitner , t. r. albrecht , hugo e. rothuizen , gerd k. binnig , d. jubin , a. pantazi , m. a. lantz , e. eleftheriou , urs dürig , t. loeliger , peter vettiger , d. wiesmann , ute drechsler",a case-based approach to information integration,"maurizio panti , luca spalazzi , alberto giretti",629_865
0,optimization of dynamic query evaluation plans,"goetz graefe , richard l. cole",efficient mid-query re-optimization of sub-optimal query execution plans,"navin kabra , david j. dewitt",366_1782
1,the evolution of the web and implications for an incremental crawler,"junghoo cho , hector garcia-molina",the evolution of the web and implications for an incremental crawler,"junghoo cho , hector garcia-molina",2141_861
0,unisql/x unified relational and object-oriented database system,won kim,the ccube constraint object-oriented database system,"alexander brodsky , victor e. segal , jia chen , paval a. exarkhopoulo",2497_4
0,managing intra-operator parallelism in parallel database systems,"david j. dewitt , manish mehta",data partitioning and load balancing in parallel disk systems,"peter scheuermann , gerhard weikum , peter zabback",2096_1250
0,structures for manipulating proposed updates in object-oriented databases,"richard hull , mohammed rupawalla , michael doherty",accessing a relational database through an object-oriented database interface,"jack a. orenstein , d. n. kamber",1799_1463
0,data partitioning and load balancing in parallel disk systems,"gerhard weikum , peter zabback , peter scheuermann",towards self-tuning data placement in parallel database systems,"mong li lee , masaru kitsuregawa , beng chin ooi , kian-lee tan , anirban mondal",2320_428
1,contextualizing the information space in federated digital libraries,"jeroen hoppenbrouwers , mike p. papazoglou",contextualizing the information space in federated digital libraries,"m. p. papazoglou , j. hoppenbrouwers",2254_121
0,evaluating functional joins along nested reference sets in object-relational and object-oriented databases,"alfons kemper , reinhard braumandl , jens claußen",query unnesting in object-oriented databases,leonidas fegaras,1471_1787
0,on the computation of relational view complements,"gottfried vossen , jens lechtenbörger",on completeness of historical relational query languages,"james clifford , albert croker , alexander tuzhilin",1552_1301
0,optimizing multiple dimensional queries simultaneously in multidimensional databases,"jeffrey xu yu , weifa liang , maria e. orlowska",optimizing multidimensional index trees for main memory access,"kihong kim , sang k. cha , keunjoo kwon",2062_300
1,lockx : a system for efficiently querying secure xml,"sungran cho , laks v. s. lakshmanan , divesh srivastava , sihem amer-yahia",lockx : a system for efficiently querying secure xml,"sungran cho , sihem amer-yahia , laks v. s. lakshmanan , divesh srivastava",497_2022
1,the fittest survives : an adaptive approach to query optimization,"kian-lee tan , son dao , hongjun lu",the fittest survives : an adaptive approach to query optimization,"hongjun lu , kian-lee tan , son dao",606_1438
0,improving timeliness in real-time secure database systems,"sang hyuk son , rasikan david , bhavani m. thuraisingham",improving the efficiency of database-system teaching,jeffrey d. ullman,925_2074
1,the building blocks for specifying communication behavior of complex objects : an activity-driven approach,"ling liu , robert meersman",the building blocks for specifying communication behavior of complex objects : an activity-driven approach,"ling liu , robert meersman",2063_1944
0,e-services - guest editorial,"dimitrios georgakopoulos , ming-chien shan , fabio casati",guest editorial,"paolo atzeni , alberto o. mendelzon",1701_1216
0,privacy-enhanced data management for next-generation e-commerce,"irini fundulaki , daniel f. lieuwen , bharat kumar , richard hull , chris clifton , arnaud sahuguet",data management issues in electronic commerce,asuman dogac,2559_347
0,wavecluster : a multi-resolution clustering approach for very large spatial databases,"surojit chatterjee , gholamhosein sheikholeslami , aidong zhang",wavecluster : a wavelet-based clustering approach for spatial data in very large databases,"gholamhosein sheikholeslami , surojit chatterjee , aidong zhang",2271_1223
0,efficiently publishing relational data as xml documents,"berthold reinwald , jayavel shanmugasundaram , michael j. carey , eugene j. shekita , hamid pirahesh , bruce g. lindsay , rimon barr",a general technique for querying xml documents using a relational database system,"jayavel shanmugasundaram , eugene shekita , jerry kiernan , rajasekar krishnamurthy , efstratios viglas , jeffrey naughton , igor tatarinov",2114_569
1,materialized views and data warehouses,nick roussopoulos,materialized views and data warehouses,nick roussopoulos,392_1768
0,continuous queries over data streams,"jennifer widom , shivnath babu",psoup : a system for streaming queries over streaming data,"sirish chandrasekaran , michael j. franklin",286_2266
0,query unnesting in object-oriented databases,leonidas fegaras,procedures in object-oriented query languages,"kazimierz subieta , yahiko kambayashi , jacek leszczylowski",2232_1447
0,time-parameterized queries in spatio-temporal databases,"dimitris papadias , yufei tao",analysis of predictive spatio-temporal queries,"yufei tao , jimeng sun , dimitris papadias",145_2196
0,a scalable algorithm for answering queries using views,"rachel pottinger , alon y. levy",answering queries with useful bindings,"chen li , edward chang",87_332
0,guest editorial,malcolm p. atkinson,guest editor 's introduction,karl aberer,2550_2234
0,guest editor 's introduction,asuman dogac,guest editorial,alon y. halevy,1705_1239
1,multi-step processing of spatial joins,"ralf schneider , thomas brinkhoff , bernhard seeger , hans-peter kriegel",multi-step processing of spatial joins,"thomas brinkhoff , hans-peter kriegel , ralf schneider , bernhard seeger",1559_1723
0,petabyte databases,dirk düllmann,database principles,leonid libkin,931_663
0,paradise : a database system for gis applications,paradise team,parallel database systems in the 1990 's,michael j. carey,306_1622
0,the ecobase project : database and web technologies for environmental information systems,"asterio k. tanaka , patrick valduriez",uis-management of data and services in the environmental information systems of baden-w &#252; rttemberg,"wolf-fritz riekert , roland mayer-f &#246; ll , gerlinde wiest",977_1905
0,a study on the management of semantic transaction for efficient data retrieval,"chih-he li , irene s. y. kwan , shi-ming huang",interaction of query evaluation and buffer management for information retrieval,"bj &#246; rn t. j &#243; nsson , michael j. franklin , divesh srivastava",2401_1781
0,promises and realities of active database systems,"eric simon , angelika kotz dittrich","integrating temporal , real-time , an active databases","krithi ramamritham , raju sivasankaran , john a. stankovic , don t. towsley , ming xiong",2129_373
0,semantic assumptions and query evaluation in temporal databases,"sushil jajodia , xiaoyang sean wang , elisa bertino , claudio bettini",temporal aggregation in active database rules,"iakovos motakis , carlo zaniolo",2318_1827
0,materialized view and index selection tool for microsoft sql server 2000,"vivek r. narasayya , sanjay agrawal , surajit chaudhuri",materialized view selection for multidimensional datasets,"amit shukla , prasad deshpande , jeffrey f. naughton",1088_1001
0,cost estimation of user-defined methods in object-relational database systems,"kinji ono , jihad boulos",vxmlr : a visual xml-relational database system,"aoying zhou , hongjun lu , shihui zheng , yuqi liang , long zhang , wenyun ji , zengping tian",1576_1318
0,a cost model for clustered object-oriented databases,"zhao-hui tang , jean-robert gruser , georges gardarin","calibrating the query optimizer cost model of iro-db , an object-oriented federated database system","georges gardarin , fei sha , zhao-hui tang",69_1122
1,optimizing queries across diverse data sources,"edward l. wimmers , donald kossmann , jun yang , laura m. haas",optimizing queries across diverse data sources,"laura m. haas , donald kossmann , edward l. wimmers , jun yang",2495_940
0,congressional samples for approximate answering of group-by queries,"viswanath poosala , swarup acharya , phillip b. gibbons",groupwise processing of relational queries,"damianos chatziantoniou , kenneth a. ross",1409_932
0,repositories and object oriented databases,philip a. bernstein,a data model and data structures for moving objects databases,"luca forlizzi , ralf hartmut g &#252; ting , enrico nardelli , markus schneider",692_420
0,multi-dimensional substring selectivity estimation,"divesh srivastava , olga kapitskaia , raymond t. ng , h. v. jagadish",estimating the selectivity of spatial queries using the ` correlation ' fractal dimension,"alberto belussi , christos faloutsos",63_1478
0,efficacious data cube exploration by semantic summarization and compression,"jian pei , laks v. s. lakshmanan , yan zhao",socqet : semantic olap with compressed cube and summarization,"laks v. s. lakshmanan , jian pei , yan zhao",779_2002
0,introduction to the career forum column,alexandros labrinidis,introduction to constraint databases,bart kuijpers,178_518
1,reasoning about spatial relationships in picture retrieval systems,"clement t. yu , a. prasad sistla , r. haddad",reasoning about spatial relationships in picture retrieval systems,"a. prasad sistla , clement t. yu , r. haddad",1190_2221
